org.joda.time.DateMidnight,toInterval,<>,org.joda.time.DurationFieldType,days,<>
org.joda.time.DateMidnight,toInterval,<>,org.joda.time.DurationFieldType,getField,<org.joda.time.Chronology>
org.joda.time.DateMidnight,toInterval,<>,org.joda.time.DurationField,add,<long;int>
org.joda.time.DateMidnight,toInterval,<>,org.joda.time.Interval,<init>,<long;long;org.joda.time.Chronology>
org.joda.time.DateMidnight,withEra,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withEra,<int>,org.joda.time.Chronology,era,<>
org.joda.time.DateMidnight,withEra,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withEra,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withEra,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withCenturyOfEra,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withCenturyOfEra,<int>,org.joda.time.Chronology,centuryOfEra,<>
org.joda.time.DateMidnight,withCenturyOfEra,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withCenturyOfEra,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withCenturyOfEra,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withYearOfEra,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withYearOfEra,<int>,org.joda.time.Chronology,yearOfEra,<>
org.joda.time.DateMidnight,withYearOfEra,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withYearOfEra,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withYearOfEra,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withYearOfCentury,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withYearOfCentury,<int>,org.joda.time.Chronology,yearOfCentury,<>
org.joda.time.DateMidnight,withYearOfCentury,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withYearOfCentury,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withYearOfCentury,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withYear,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withYear,<int>,org.joda.time.Chronology,year,<>
org.joda.time.DateMidnight,withYear,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withYear,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withYear,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withWeekyear,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withWeekyear,<int>,org.joda.time.Chronology,weekyear,<>
org.joda.time.DateMidnight,withWeekyear,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withWeekyear,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withWeekyear,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withMonthOfYear,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withMonthOfYear,<int>,org.joda.time.Chronology,monthOfYear,<>
org.joda.time.DateMidnight,withMonthOfYear,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withMonthOfYear,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withMonthOfYear,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withWeekOfWeekyear,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withWeekOfWeekyear,<int>,org.joda.time.Chronology,weekOfWeekyear,<>
org.joda.time.DateMidnight,withWeekOfWeekyear,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withWeekOfWeekyear,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withWeekOfWeekyear,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withDayOfYear,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withDayOfYear,<int>,org.joda.time.Chronology,dayOfYear,<>
org.joda.time.DateMidnight,withDayOfYear,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withDayOfYear,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withDayOfYear,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withDayOfMonth,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withDayOfMonth,<int>,org.joda.time.Chronology,dayOfMonth,<>
org.joda.time.DateMidnight,withDayOfMonth,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withDayOfMonth,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withDayOfMonth,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withDayOfWeek,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withDayOfWeek,<int>,org.joda.time.Chronology,dayOfWeek,<>
org.joda.time.DateMidnight,withDayOfWeek,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withDayOfWeek,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withDayOfWeek,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,era,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,era,<>,org.joda.time.Chronology,era,<>
org.joda.time.DateMidnight,era,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,centuryOfEra,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,centuryOfEra,<>,org.joda.time.Chronology,centuryOfEra,<>
org.joda.time.DateMidnight,centuryOfEra,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,yearOfCentury,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,yearOfCentury,<>,org.joda.time.Chronology,yearOfCentury,<>
org.joda.time.DateMidnight,yearOfCentury,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,yearOfEra,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,yearOfEra,<>,org.joda.time.Chronology,yearOfEra,<>
org.joda.time.DateMidnight,yearOfEra,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,year,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,year,<>,org.joda.time.Chronology,year,<>
org.joda.time.DateMidnight,year,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,weekyear,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,weekyear,<>,org.joda.time.Chronology,weekyear,<>
org.joda.time.DateMidnight,weekyear,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,monthOfYear,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,monthOfYear,<>,org.joda.time.Chronology,monthOfYear,<>
org.joda.time.DateMidnight,monthOfYear,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,weekOfWeekyear,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,weekOfWeekyear,<>,org.joda.time.Chronology,weekOfWeekyear,<>
org.joda.time.DateMidnight,weekOfWeekyear,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,dayOfYear,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,dayOfYear,<>,org.joda.time.Chronology,dayOfYear,<>
org.joda.time.DateMidnight,dayOfYear,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,dayOfMonth,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,dayOfMonth,<>,org.joda.time.Chronology,dayOfMonth,<>
org.joda.time.DateMidnight,dayOfMonth,<>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,dayOfWeek,<>,org.joda.time.base.BaseDateTime,getChronology,<>
